PC1,PC2,Class
-0.7317497243414605,-0.04302556196307501,1
-1.185084411230799,2.0678501651749186,1
-1.467594782222413,5.023754446603397,1
-0.8053472870388907,0.4275030726987344,1
-0.8062789787605981,0.426747167914122,1
-0.4926734302519284,-0.48956338785419656,1
-1.0258324507749386,1.0207491104237028,1
-0.5044498078174816,-0.4875355528126829,1
-1.2659381214718801,3.641245095328507,1
-0.8412298705309965,0.4005108115764587,1
-0.18307523181959687,1.7027900201921657,1
-0.6392609193416436,-0.46424231022058166,1
-0.6938044903422304,-0.057561822267787874,1
-1.0529705981021173,1.0329931387882265,1
-1.2813519750182631,1.6612654710628574,1
-0.35208724332091634,0.2804465492928484,1
-0.6998170697485914,-0.3692151721563767,1
-0.8343187764972211,0.530841709760364,1
-0.8069827384618349,0.4050100199605609,1
0.40728515262875864,4.03749448443382,1
-0.008900522254404571,-1.2256754358317787,1
-0.8927164625806228,1.0614850436007006,1
-0.5005124319221881,-0.44944773595761667,1
-0.6628172718635498,-0.08281503926478581,1
-0.30334599923493805,-1.2959880054339836,1
-0.8926423661586658,1.0610958769973386,1
-0.30334599923493805,-1.2959880054339836,1
-1.0232235637840943,0.6318357478982305,1
-0.3583038446628105,-0.9498912488138765,1
-1.1042393868204177,2.530363093178397,1
-0.8705311401980426,0.1710075074814424,1
-0.7230438783333614,0.26955405831685736,1
-0.8907263395079162,0.28942932844747205,1
-0.813677048246209,0.7999828511301256,1
1.1373134568925107,0.5143245538383006,1
-0.7520733883492974,0.15542120669647516,1
-0.48689255694331435,-0.44285525412179166,1
-1.0769704598495278,1.2769541616528959,1
-0.6692338720324245,-0.15403832305022308,1
-0.8064497151467016,0.29104738829300353,1
-1.276747732201544,1.9890873956227793,1
-0.5274322772940427,-0.48015146608669035,1
-0.5193758194331507,-0.47295984984352735,1
-0.8098665560393942,0.41582343544376793,1
-0.9871781709545662,1.1885881605684194,1
-1.2094176602566404,2.348205200058421,1
-1.1578621392458455,1.565859520262105,1
-1.6380693925076066,3.7676665114089802,1
-1.7099031414289796,4.398763591782207,1
-1.183207173820137,1.9615522885753447,1
-0.8522347311018681,0.06341259317820096,1
